topicnum,perplexity,coherence
4,132.732,-0.977896
5,127.769,-1.03133
6,125.253,-1.25421
7,125.529,-1.22173
8,121.787,-1.26639
9,117.441,-1.36639
10,117.611,-1.46854
11,118.17,-1.32775
12,115.359,-1.46747
13,114.853,-1.51657
14,115.364,-1.67991
15,112.784,-1.55564
