topicnum,perplexity,coherence
4,165.656,-1.1578
5,160.48,-1.20045
6,157.054,-1.22985
7,152.785,-1.26716
8,150.904,-1.31177
9,146.443,-1.29417
10,144.9,-1.30122
11,144.094,-1.33368
12,141.699,-1.34791
13,140.002,-1.64078
14,137.617,-1.33194
15,135.559,-1.41948
