topicnum,perplexity,coherence
4,160.061,-1.10199
5,155.948,-1.25246
6,152.098,-1.12502
7,146.703,-1.21067
8,144.181,-1.31737
9,144.168,-1.40272
10,139.726,-1.29944
11,138.84,-1.28921
12,137.113,-1.2403
13,137.263,-1.40166
14,133.688,-1.43424
15,132.735,-1.49777
