topicnum,perplexity,coherence
4,154.53,-1.11778
5,151.311,-1.15653
6,147.46,-1.15014
7,142.982,-1.20403
8,139.825,-1.34737
9,137.1,-1.2655
10,135.393,-1.34285
11,132.882,-1.42619
12,133.107,-1.40847
13,131.614,-1.38318
14,127.448,-1.54545
15,128.789,-1.4506
