topicnum,perplexity,coherence
4,135.246,-1.047
5,131.751,-1.05236
6,127.219,-1.11015
7,125.061,-1.18923
8,122.973,-1.13055
9,120.561,-1.19376
10,119.542,-1.44316
11,118.601,-1.35737
12,117.586,-1.36674
13,116.651,-1.41729
14,113.915,-1.3181
15,114.179,-1.50272
