topicnum,perplexity,coherence
4,157.161,-1.08019
5,153.489,-1.0771
6,150.068,-1.25907
7,147.358,-1.12353
8,145.32,-1.40466
9,140.696,-1.2868
10,140.965,-1.59264
11,139.931,-1.4799
12,138.132,-1.54637
13,135.157,-1.52274
14,136.207,-1.60987
15,135.41,-1.83989
